grid	eDNFFL	total	gained	kept	lost	DNF	eg	ek	el	egr	ekr	elr
1	0.2648221344	67	0	50	16	1	0	51.3333333333	14.6666666667	#DIV/0!	#DIV/0!	#DIV/0!
2	0.1778656126	45	10	22	13	0	6.25	21.7857142857	16.9642857143	#DIV/0!	#DIV/0!	#DIV/0!
3	0.3754940711	19	6	5	8	0	5.9758064516	7.2782258065	5.7459677419	#DIV/0!	#DIV/0!	#DIV/0!
4	0.2845849802	18	6	5	7	0	5.7108433735	5.8554216867	6.4337349398	#DIV/0!	#DIV/0!	#DIV/0!
5	0.1897233202	12	4	3	4	1	4.5060240964	3.1807228916	3.313253012	#DIV/0!	#DIV/0!	#DIV/0!
6	0.0592885375	3	2	1	0	0	1.0161290323	0.9072580645	1.0766129032	#DIV/0!	#DIV/0!	#DIV/0!
7	0.1304347826	3	1	0	1	1	0.9752066116	0.4710743802	0.5537190083	#DIV/0!	#DIV/0!	#DIV/0!
8	0.0592885375	3	2	1	0	0	1.1370967742	0.7379032258	1.125	#DIV/0!	#DIV/0!	#DIV/0!
9	0.2371541502	6	3	1	2	0	3.037037037	1.0617283951	1.9012345679	#DIV/0!	#DIV/0!	#DIV/0!
10	0.0948616601	4	2	1	1	0	1.5870445344	0.8906882591	1.5222672065	#DIV/0!	#DIV/0!	#DIV/0!
11	0.0515873016	1	1	0	0	0	0.489539749	0.1338912134	0.3765690377	0.5098039216	0.137254902	0.3529411765
12	0.1541501976	3	2	0	0	1	0.9666666667	0.3333333333	0.7	0.9909672788	0.2997547407	0.7092779805
13	0.1106719368	2	2	0	0	0	1.1715481172	0.3179916318	0.510460251	1.1565217391	0.2695652174	0.5739130435
14	0.0513833992	1	0	0	1	0	0.475	0.1375	0.3875	0.5301724138	0.1206896552	0.349137931
15	0.0515873016	1	1	0	0	0	0.5564853556	0.1841004184	0.2594142259	0.6176470588	0.1554621849	0.2268907563
16	0.0357142857	1	0	1	0	0	0.5720164609	0.1234567901	0.304526749	0.6153846154	0.1282051282	0.2564102564
17	0.0431372549	1	1	0	0	0	0.6024590164	0.1475409836	0.25	0.619047619	0.1471861472	0.2337662338
18	0.0873015873	2	2	0	0	0	1.2863070539	0.1742738589	0.5394190871	1.3974895397	0.2426778243	0.359832636
19	0.0564516129	1	1	0	0	0	0.6794871795	0.1623931624	0.1581196581	0.7574468085	0.170212766	0.0723404255
20	0.0897959184	2	2	0	0	0	1.4444444444	0.358974359	0.1965811966	1.3141293853	0.2495440403	0.4363265744
21	0.0592105263	1	1	0	0	0	0.7552447552	0.1468531469	0.0979020979	0.7574468085	0.170212766	0.0723404255
22	0.0132450331	2	2	0	0	0	1.5466666667	0.3466666667	0.1066666667	1.6234309623	0.3765690377	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0.037037037	1	1	0	0	0	0.7692307692	0.2307692308	0	0.8117154812	0.1882845188	0
